team,date,game_id,runs,hits,doubles,triples,home_runs,strike_outs,walks,stolen_bases,left_on_base,slug,ops,obp,at_bats,extra_base_hits,xbh_rate,walk_rate
ARI,2023-11-01,748534,0,5,1,0,0,10,6,2,19,0.391,0.719,0.328,31,1,0.2,0.375
ARI,2023-10-31,748535,7,12,2,0,1,6,3,0,16,0.434,0.769,0.335,35,3,0.25,0.3333333333333333
ARI,2023-10-30,748540,1,6,3,0,0,9,2,0,9,0.417,0.739,0.322,30,3,0.5,0.18181818181818182
ARI,2023-10-28,748541,9,16,3,0,1,2,4,1,15,0.462,0.811,0.349,37,4,0.25,0.6666666666666666
ARI,2023-10-27,748542,5,8,1,1,1,14,1,4,9,0.341,0.555,0.214,41,3,0.375,0.06666666666666667
ARI,2023-10-24,748537,4,11,1,0,0,10,1,4,15,0.348,0.642,0.294,35,1,0.09090909090909091,0.09090909090909091
ARI,2023-10-23,748539,5,10,1,1,2,9,4,4,15,0.348,0.637,0.289,34,4,0.4,0.3076923076923077
ARI,2023-10-21,748538,1,8,1,0,1,11,2,0,17,0.305,0.577,0.272,35,2,0.25,0.15384615384615385
ARI,2023-10-20,748544,6,9,1,0,1,7,5,0,20,0.295,0.568,0.273,34,2,0.2222222222222222,0.4166666666666667
ARI,2023-10-19,748545,2,9,4,0,0,9,4,1,14,0.263,0.496,0.233,33,4,0.4444444444444444,0.3076923076923077
ARI,2023-10-17,748546,0,4,1,0,0,13,1,0,14,0.194,0.361,0.167,32,1,0.25,0.07142857142857142
ARI,2023-10-16,748543,3,4,0,0,1,10,2,0,9,0.233,0.415,0.182,30,1,0.25,0.16666666666666666
ARI,2023-10-11,748557,4,8,0,0,4,7,3,1,11,0.588,0.947,0.359,32,4,0.5,0.3
ARI,2023-10-09,748556,4,8,0,0,1,10,5,4,16,0.571,0.949,0.378,31,1,0.125,0.3333333333333333
ARI,2023-10-07,748555,11,13,4,0,4,9,3,0,9,0.744,1.13,0.386,39,8,0.6153846153846154,0.25
ARI,2023-10-04,748578,5,6,1,0,1,11,3,0,7,0.439,0.768,0.329,32,2,0.3333333333333333,0.21428571428571427
ARI,2023-10-03,748582,6,9,1,0,3,10,7,2,22,0.559,0.949,0.39,34,4,0.4444444444444444,0.4117647058823529
