,team,game_id,runs,hits,doubles,triples,home_runs,strike_outs,walks,stolen_bases,left_on_base,slug,ops,obp,at_bats,extra_base_hits,xbh_rate
0,BOS,813074,3,8,3,0,0,8,6,1,15,.324,.674,.350,34,3,0.375
1,BOS,813070,3,6,0,0,1,9,3,0,16,.313,.637,.324,30,1,0.16666666666666666
2,BOS,813065,0,5,0,0,0,13,1,0,14,.260,.540,.280,32,0,0.0
3,CHC,813066,3,6,0,0,2,13,1,0,6,.444,.685,.241,27,2,0.3333333333333333
4,CHC,813064,0,4,1,0,0,11,1,0,9,.298,.511,.213,30,1,0.25
5,CHC,813059,3,13,3,0,1,11,1,0,20,.404,.699,.295,32,4,0.3076923076923077
6,CHC,813047,3,6,1,0,3,12,3,0,9,.485,.735,.250,33,4,0.6666666666666666
7,CHC,813048,3,4,0,0,1,11,4,0,8,.359,.598,.239,31,1,0.25
8,CHC,813049,4,8,1,0,1,7,4,1,19,.368,.642,.274,31,2,0.25
9,CHC,813050,6,10,0,0,3,8,6,2,23,.419,.727,.308,34,3,0.3
10,CHC,813046,1,4,0,0,1,8,1,0,11,.381,.666,.285,31,1,0.25
11,CIN,813069,5,7,2,0,0,12,5,0,12,.265,.573,.308,34,2,0.2857142857142857
12,CIN,813068,4,6,0,0,0,13,5,1,20,.224,.528,.304,33,0,0.0
13,CLE,813072,1,4,0,0,0,15,3,0,13,.133,.345,.212,30,0,0.0
14,CLE,813071,6,6,2,0,3,3,4,0,6,.356,.614,.258,29,5,0.8333333333333334
15,CLE,813073,3,6,2,0,0,6,2,0,7,.322,.575,.253,31,2,0.3333333333333333
16,DET,813072,2,5,1,0,0,13,2,0,13,.200,.442,.242,30,1,0.2
17,DET,813071,1,7,1,0,0,11,6,0,29,.215,.518,.303,35,1,0.14285714285714285
18,DET,813073,6,10,2,0,1,9,5,0,20,.287,.612,.325,36,3,0.3
19,DET,813058,3,7,1,0,1,16,4,1,20,.275,.525,.250,40,2,0.2857142857142857
20,DET,813057,2,3,1,0,0,10,5,0,15,.211,.449,.238,31,1,0.3333333333333333
21,DET,813056,4,7,2,0,0,9,1,0,8,.233,.479,.246,32,2,0.2857142857142857
22,DET,813055,9,13,4,0,3,3,2,1,10,.362,.647,.285,35,7,0.5384615384615384
23,DET,813054,2,8,2,0,1,17,4,0,18,.333,.604,.271,51,3,0.375
24,LAD,813069,10,15,1,0,5,12,3,0,17,.816,1.268,.452,38,6,0.4
25,LAD,813068,8,13,6,0,0,3,3,0,25,.667,1.107,.440,37,6,0.46153846153846156
26,LAD,813051,5,6,1,0,1,13,3,0,16,.303,.592,.289,33,2,0.3333333333333333
27,LAD,813052,4,7,2,0,0,8,3,0,15,.284,.564,.280,34,2,0.2857142857142857
28,LAD,813041,2,8,0,1,1,8,2,0,12,.317,.603,.286,34,2,0.25
29,LAD,813042,2,7,0,0,0,12,4,0,21,.277,.557,.280,40,0,0.0
30,LAD,813036,2,7,2,0,1,4,8,0,23,.387,.772,.385,31,3,0.42857142857142855
31,LAD,813034,5,11,4,0,2,8,4,1,23,.500,.900,.400,35,6,0.5454545454545454
32,LAD,813033,3,5,1,1,0,15,3,0,11,.432,.789,.357,29,2,0.4
33,LAD,813031,5,9,0,0,3,10,2,1,13,.461,.808,.347,33,3,0.3333333333333333
34,LAD,813027,4,6,0,0,1,13,6,0,15,.281,.597,.316,32,1,0.16666666666666666
35,LAD,813026,5,6,1,0,2,7,3,0,8,.338,.622,.284,33,3,0.5
36,LAD,813032,6,16,3,0,4,13,10,1,26,.414,.738,.324,63,7,0.4375
37,LAD,813023,2,6,1,0,0,7,4,0,16,.377,.692,.315,31,1,0.16666666666666666
38,LAD,813022,1,4,0,0,1,15,1,0,7,.354,.650,.296,30,1,0.25
39,LAD,813025,3,4,3,0,0,12,4,0,8,.336,.623,.287,31,3,0.75
40,LAD,813024,5,11,1,0,3,5,5,0,23,.364,.658,.294,41,4,0.36363636363636365
41,MIL,813047,9,13,4,0,0,8,5,0,22,.459,.888,.429,37,4,0.3076923076923077
42,MIL,813048,7,11,0,0,3,5,2,0,8,.529,.939,.410,33,3,0.2727272727272727
43,MIL,813049,3,7,2,0,1,9,3,0,13,.476,.841,.365,33,3,0.42857142857142855
44,MIL,813050,0,3,1,0,0,8,4,0,14,.405,.738,.333,28,1,0.3333333333333333
45,MIL,813046,3,6,0,0,3,4,4,2,9,.425,.753,.328,29,3,0.5
46,MIL,813036,1,2,1,0,0,11,3,1,4,.111,.272,.161,27,1,0.5
47,MIL,813034,1,3,0,0,1,7,1,0,7,.155,.298,.143,31,1,0.3333333333333333
48,MIL,813033,1,4,1,1,0,12,3,2,9,.180,.345,.165,31,2,0.5
49,MIL,813031,1,5,2,0,0,11,4,1,20,.193,.384,.191,30,2,0.4
50,NYY,813074,1,7,0,0,1,13,0,0,15,.303,.515,.212,33,1,0.14285714285714285
51,NYY,813070,4,10,1,0,1,5,4,1,16,.364,.664,.300,33,2,0.2
52,NYY,813065,4,8,2,0,0,11,1,0,18,.343,.638,.295,33,2,0.25
53,NYY,813063,1,6,2,0,0,6,2,0,17,.250,.507,.257,32,2,0.3333333333333333
54,NYY,813062,7,10,2,0,1,15,3,0,11,.333,.622,.289,37,3,0.3
55,NYY,813061,9,12,4,0,2,6,4,0,15,.433,.758,.325,35,6,0.5
56,NYY,813060,2,6,1,0,1,10,6,0,18,.404,.731,.327,32,2,0.3333333333333333
57,PHI,813051,3,6,1,1,0,12,3,0,13,.290,.568,.278,31,2,0.3333333333333333
58,PHI,813052,3,7,2,1,0,10,4,1,15,.313,.601,.288,33,3,0.42857142857142855
59,PHI,813041,8,12,2,0,3,4,6,2,18,.430,.766,.336,36,5,0.4166666666666667
60,PHI,813042,1,4,2,0,0,12,4,1,14,.358,.657,.299,37,2,0.5
61,SD,813066,1,4,2,0,0,6,1,0,9,.200,.361,.161,30,2,0.5
62,SD,813064,3,7,1,0,1,6,3,2,19,.274,.498,.224,32,2,0.2857142857142857
63,SD,813059,1,7,2,0,1,8,1,1,16,.305,.548,.243,33,3,0.42857142857142855
64,SEA,813058,2,6,0,0,1,8,2,0,8,.237,.437,.200,38,1,0.16666666666666666
65,SEA,813057,3,8,2,0,2,10,1,1,13,.357,.590,.233,32,4,0.5
66,SEA,813056,8,8,2,0,3,10,5,0,14,.423,.695,.272,34,5,0.625
67,SEA,813055,3,8,1,0,0,10,4,0,14,.387,.672,.285,33,1,0.125
68,SEA,813054,3,8,2,0,0,20,7,1,22,.342,.634,.292,47,2,0.25
69,SEA,813040,3,7,1,0,1,11,3,2,15,.324,.594,.270,34,2,0.2857142857142857
70,SEA,813044,10,10,0,1,3,14,6,1,14,.457,.790,.333,36,4,0.4
71,SEA,813043,4,8,1,0,3,10,1,1,10,.481,.791,.310,34,4,0.5
72,SEA,813035,2,5,0,0,1,8,5,0,9,.436,.743,.307,29,1,0.2
73,SEA,813039,6,5,1,0,3,6,6,1,11,.451,.763,.312,29,4,0.8
74,SEA,813038,2,7,0,0,1,13,4,0,11,.430,.742,.312,31,1,0.14285714285714285
75,SEA,813037,3,8,2,0,2,9,4,0,13,.440,.755,.315,32,4,0.5
76,TOR,813063,10,14,3,0,3,2,2,0,11,.722,1.122,.400,36,6,0.42857142857142855
77,TOR,813062,13,15,3,0,5,5,3,0,9,.797,1.217,.420,38,8,0.5333333333333333
78,TOR,813061,6,9,2,0,1,11,2,0,14,.664,1.047,.383,36,3,0.3333333333333333
79,TOR,813060,5,12,4,0,0,6,1,1,25,.601,.974,.373,38,4,0.3333333333333333
80,TOR,813040,1,2,0,0,1,4,3,0,8,.172,.328,.156,29,1,0.5
81,TOR,813044,3,6,1,0,0,5,5,0,18,.197,.429,.232,32,1,0.16666666666666666
82,TOR,813043,13,18,4,0,5,7,3,0,18,.467,.786,.319,44,9,0.5
83,TOR,813035,8,11,3,0,2,7,4,0,14,.489,.822,.333,36,5,0.45454545454545453
84,TOR,813039,2,7,5,0,0,5,4,0,18,.468,.800,.332,32,5,0.7142857142857143
85,TOR,813038,6,11,1,1,2,6,3,0,18,.483,.822,.339,36,4,0.36363636363636365
86,TOR,813037,4,10,0,0,1,6,3,0,16,.475,.820,.345,31,1,0.1
87,TOR,813027,11,14,0,0,3,4,4,0,13,.657,1.132,.475,35,3,0.21428571428571427
88,TOR,813026,1,4,1,0,0,8,0,0,11,.431,.764,.333,30,1,0.25
89,TOR,813032,5,15,1,0,1,16,9,0,32,.356,.683,.327,67,2,0.13333333333333333
90,TOR,813023,6,11,1,0,1,9,3,0,16,.365,.698,.333,38,2,0.18181818181818182
91,TOR,813022,6,9,0,1,2,7,6,1,17,.389,.730,.341,33,3,0.3333333333333333
