team,date,game_id,runs,hits,doubles,triples,home_runs,strike_outs,walks,stolen_bases,left_on_base,slug,ops,obp,at_bats,extra_base_hits,xbh_rate,walk_rate
ARI,2023-11-01,748534,0,5,1,0,0,10,6,2,19,.391,.719,.328,31,1,0.2,0.375
ARI,2023-10-31,748535,7,12,2,0,1,6,3,0,16,.434,.769,.335,35,3,0.25,0.3333333333333333
ARI,2023-10-30,748540,1,6,3,0,0,9,2,0,9,.417,.739,.322,30,3,0.5,0.18181818181818182
ARI,2023-10-28,748541,9,16,3,0,1,2,4,1,15,.462,.811,.349,37,4,0.25,0.6666666666666666
ARI,2023-10-27,748542,5,8,1,1,1,14,1,4,9,.341,.555,.214,41,3,0.375,0.06666666666666667
ARI,2023-10-24,748537,4,11,1,0,0,10,1,4,15,.348,.642,.294,35,1,0.09090909090909091,0.09090909090909091
ARI,2023-10-23,748539,5,10,1,1,2,9,4,4,15,.348,.637,.289,34,4,0.4,0.3076923076923077
ARI,2023-10-21,748538,1,8,1,0,1,11,2,0,17,.305,.577,.272,35,2,0.25,0.15384615384615385
ARI,2023-10-20,748544,6,9,1,0,1,7,5,0,20,.295,.568,.273,34,2,0.2222222222222222,0.4166666666666667
ARI,2023-10-19,748545,2,9,4,0,0,9,4,1,14,.263,.496,.233,33,4,0.4444444444444444,0.3076923076923077
ARI,2023-10-17,748546,0,4,1,0,0,13,1,0,14,.194,.361,.167,32,1,0.25,0.07142857142857142
ARI,2023-10-16,748543,3,4,0,0,1,10,2,0,9,.233,.415,.182,30,1,0.25,0.16666666666666666
ARI,2023-10-11,748557,4,8,0,0,4,7,3,1,11,.588,.947,.359,32,4,0.5,0.3
ARI,2023-10-09,748556,4,8,0,0,1,10,5,4,16,.571,.949,.378,31,1,0.125,0.3333333333333333
ARI,2023-10-07,748555,11,13,4,0,4,9,3,0,9,.744,1.130,.386,39,8,0.6153846153846154,0.25
ARI,2023-10-04,748578,5,6,1,0,1,11,3,0,7,.439,.768,.329,32,2,0.3333333333333333,0.21428571428571427
ARI,2023-10-03,748582,6,9,1,0,3,10,7,2,22,.559,.949,.390,34,4,0.4444444444444444,0.4117647058823529
