team,date,game_id,runs,hits,doubles,triples,home_runs,strike_outs,walks,stolen_bases,left_on_base,slug,ops,obp,at_bats,extra_base_hits,xbh_rate,walk_rate
ARI,2023-10-03,748582,6,9,1,0,3,10,7,2,22,0.559,0.949,0.39,34,4,0.4444444444444444,0.4117647058823529
ARI,2023-10-04,748578,5,6,1,0,1,11,3,0,7,0.439,0.768,0.329,32,2,0.3333333333333333,0.21428571428571427
ARI,2023-10-07,748555,11,13,4,0,4,9,3,0,9,0.744,1.13,0.386,39,8,0.6153846153846154,0.25
ARI,2023-10-09,748556,4,8,0,0,1,10,5,4,16,0.571,0.949,0.378,31,1,0.125,0.3333333333333333
ARI,2023-10-11,748557,4,8,0,0,4,7,3,1,11,0.588,0.947,0.359,32,4,0.5,0.3
ARI,2023-10-16,748543,3,4,0,0,1,10,2,0,9,0.233,0.415,0.182,30,1,0.25,0.16666666666666666
ARI,2023-10-17,748546,0,4,1,0,0,13,1,0,14,0.194,0.361,0.167,32,1,0.25,0.07142857142857142
ARI,2023-10-19,748545,2,9,4,0,0,9,4,1,14,0.263,0.496,0.233,33,4,0.4444444444444444,0.3076923076923077
ARI,2023-10-20,748544,6,9,1,0,1,7,5,0,20,0.295,0.568,0.273,34,2,0.2222222222222222,0.4166666666666667
ARI,2023-10-21,748538,1,8,1,0,1,11,2,0,17,0.305,0.577,0.272,35,2,0.25,0.15384615384615385
ARI,2023-10-23,748539,5,10,1,1,2,9,4,4,15,0.348,0.637,0.289,34,4,0.4,0.3076923076923077
ARI,2023-10-24,748537,4,11,1,0,0,10,1,4,15,0.348,0.642,0.294,35,1,0.09090909090909091,0.09090909090909091
ARI,2023-10-27,748542,5,8,1,1,1,14,1,4,9,0.341,0.555,0.214,41,3,0.375,0.06666666666666667
ARI,2023-10-28,748541,9,16,3,0,1,2,4,1,15,0.462,0.811,0.349,37,4,0.25,0.6666666666666666
ARI,2023-10-30,748540,1,6,3,0,0,9,2,0,9,0.417,0.739,0.322,30,3,0.5,0.18181818181818182
ARI,2023-10-31,748535,7,12,2,0,1,6,3,0,16,0.434,0.769,0.335,35,3,0.25,0.3333333333333333
ARI,2023-11-01,748534,0,5,1,0,0,10,6,2,19,0.391,0.719,0.328,31,1,0.2,0.375
ATL,2023-10-07,748562,0,5,0,0,0,8,3,0,17,0.161,0.396,0.235,31,0,0.0,0.2727272727272727
ATL,2023-10-09,748563,5,4,0,0,2,12,1,1,6,0.25,0.465,0.215,29,2,0.5,0.07692307692307693
ATL,2023-10-11,748564,2,10,1,0,0,10,3,1,17,0.268,0.525,0.257,37,1,0.1,0.23076923076923078
ATL,2023-10-12,748561,1,5,0,0,1,4,4,0,15,0.264,0.519,0.255,32,1,0.2,0.5
LAD,2023-10-07,748555,2,4,1,1,0,8,4,0,12,0.226,0.455,0.229,31,2,0.5,0.3333333333333333
LAD,2023-10-09,748556,2,6,0,0,1,8,4,0,15,0.254,0.508,0.254,32,1,0.16666666666666666,0.3333333333333333
LAD,2023-10-11,748557,2,7,1,0,0,7,1,0,10,0.25,0.498,0.248,33,1,0.14285714285714285,0.125
PHI,2023-10-03,748577,4,11,4,0,0,10,1,2,18,0.441,0.784,0.343,34,4,0.36363636363636365,0.09090909090909091
PHI,2023-10-04,748575,7,7,4,0,2,12,3,0,12,0.485,0.799,0.314,32,6,0.8571428571428571,0.2
PHI,2023-10-07,748562,3,6,1,0,1,11,4,5,13,0.323,0.629,0.306,31,2,0.3333333333333333,0.26666666666666666
PHI,2023-10-09,748563,4,9,1,0,1,7,7,2,21,0.354,0.7,0.346,34,2,0.2222222222222222,0.5
PHI,2023-10-11,748564,10,11,2,0,6,10,4,0,13,0.545,0.913,0.368,34,8,0.7272727272727273,0.2857142857142857
PHI,2023-10-12,748561,3,10,1,0,3,10,4,0,17,0.565,0.938,0.373,32,4,0.4,0.2857142857142857
PHI,2023-10-16,748543,5,9,2,0,3,4,3,0,14,0.625,0.986,0.361,32,5,0.5555555555555556,0.42857142857142855
PHI,2023-10-17,748546,10,11,4,0,3,6,6,1,9,0.688,1.088,0.4,32,7,0.6363636363636364,0.5
PHI,2023-10-19,748545,1,3,1,0,0,13,3,1,7,0.522,0.862,0.34,28,1,0.3333333333333333,0.1875
PHI,2023-10-20,748544,5,8,2,1,1,11,5,1,11,0.508,0.848,0.34,32,4,0.5,0.3125
PHI,2023-10-21,748538,6,9,0,0,3,5,3,3,13,0.513,0.85,0.337,34,3,0.3333333333333333,0.375
PHI,2023-10-23,748539,1,6,1,0,0,10,3,1,16,0.463,0.787,0.324,32,1,0.16666666666666666,0.23076923076923078
PHI,2023-10-24,748537,2,5,2,0,1,11,4,0,14,0.443,0.758,0.315,31,3,0.6,0.26666666666666666
MIL,2023-10-03,748582,3,12,1,0,1,11,4,0,25,0.457,0.882,0.425,35,2,0.16666666666666666,0.26666666666666666
MIL,2023-10-04,748578,2,9,1,0,0,8,3,1,21,0.382,0.767,0.385,33,1,0.1111111111111111,0.2727272727272727
MIA,2023-10-03,748577,1,7,2,0,0,10,0,0,10,0.273,0.485,0.212,33,2,0.2857142857142857,0.0
MIA,2023-10-04,748575,1,5,1,0,0,6,1,0,9,0.242,0.461,0.219,29,1,0.2,0.14285714285714285
BAL,2023-10-07,748573,2,5,1,0,1,7,5,0,11,0.31,0.604,0.294,29,2,0.4,0.4166666666666667
BAL,2023-10-08,748569,8,14,5,0,2,7,2,0,17,0.486,0.819,0.333,41,7,0.5,0.2222222222222222
BAL,2023-10-10,748572,1,6,0,0,0,9,2,0,9,0.388,0.689,0.301,33,0,0.0,0.18181818181818182
TEX,2023-10-03,748581,4,9,3,0,0,11,6,2,28,0.324,0.665,0.341,37,3,0.3333333333333333,0.35294117647058826
TEX,2023-10-04,748580,7,13,5,1,2,10,2,1,17,0.507,0.872,0.365,38,8,0.6153846153846154,0.16666666666666666
TEX,2023-10-07,748573,3,8,3,0,1,16,5,0,18,0.4,0.725,0.325,35,4,0.5,0.23809523809523808
TEX,2023-10-08,748569,11,11,2,0,1,7,11,0,24,0.417,0.815,0.398,37,3,0.2727272727272727,0.6111111111111112
TEX,2023-10-10,748572,7,11,2,0,3,5,2,0,10,0.491,0.878,0.387,34,5,0.45454545454545453,0.2857142857142857
TEX,2023-10-15,748553,2,6,1,0,1,8,2,0,9,0.313,0.548,0.235,32,2,0.3333333333333333,0.2
TEX,2023-10-16,748548,5,8,0,1,1,12,3,1,18,0.343,0.617,0.274,35,2,0.25,0.2
TEX,2023-10-18,748552,5,6,1,0,2,5,3,0,7,0.364,0.633,0.269,32,3,0.5,0.375
TEX,2023-10-19,748551,3,8,1,0,2,6,2,0,11,0.389,0.662,0.273,32,3,0.375,0.25
TEX,2023-10-20,748550,4,8,1,0,2,6,3,1,18,0.398,0.678,0.28,35,3,0.375,0.3333333333333333
TEX,2023-10-22,748549,9,10,1,0,3,10,4,1,18,0.424,0.719,0.295,37,4,0.4,0.2857142857142857
TEX,2023-10-23,748547,11,15,2,0,4,8,4,3,15,0.469,0.786,0.317,42,6,0.4,0.3333333333333333
TEX,2023-10-27,748542,6,9,2,0,2,10,10,1,20,0.447,0.855,0.408,38,4,0.4444444444444444,0.5
TEX,2023-10-28,748541,1,4,0,0,1,10,1,0,6,0.348,0.657,0.309,31,1,0.25,0.09090909090909091
TEX,2023-10-30,748540,3,5,1,0,1,6,3,0,13,0.33,0.617,0.287,31,2,0.4,0.3333333333333333
TEX,2023-10-31,748535,11,11,3,1,3,9,2,0,12,0.42,0.721,0.301,38,7,0.6363636363636364,0.18181818181818182
TEX,2023-11-01,748534,5,9,1,0,1,9,3,0,16,0.408,0.711,0.303,36,2,0.2222222222222222,0.25
HOU,2023-10-07,748568,6,9,1,0,3,7,4,1,13,0.613,1.002,0.389,31,4,0.4444444444444444,0.36363636363636365
HOU,2023-10-08,748565,2,7,1,0,1,8,2,0,13,0.469,0.793,0.324,33,2,0.2857142857142857,0.2
HOU,2023-10-10,748567,9,14,2,0,4,12,3,0,26,0.552,0.9,0.348,41,6,0.42857142857142855,0.2
HOU,2023-10-11,748566,3,6,0,0,2,10,0,0,4,0.507,0.818,0.311,33,2,0.3333333333333333,0.0
HOU,2023-10-15,748553,0,5,0,0,0,7,2,0,10,0.161,0.373,0.212,31,0,0.0,0.2222222222222222
HOU,2023-10-16,748548,4,6,1,0,3,10,3,0,15,0.323,0.552,0.229,34,4,0.6666666666666666,0.23076923076923078
HOU,2023-10-18,748552,8,12,2,0,1,5,4,0,19,0.373,0.668,0.295,37,3,0.25,0.4444444444444444
HOU,2023-10-19,748551,10,11,2,1,2,8,7,1,20,0.428,0.759,0.331,36,5,0.45454545454545453,0.4666666666666667
HOU,2023-10-20,748550,5,8,1,0,2,7,4,0,17,0.425,0.75,0.325,36,3,0.375,0.36363636363636365
HOU,2023-10-22,748549,2,6,0,0,0,6,5,1,23,0.39,0.713,0.323,31,0,0.0,0.45454545454545453
HOU,2023-10-23,748547,4,12,2,1,2,4,3,1,23,0.42,0.752,0.332,38,5,0.4166666666666667,0.42857142857142855
MIN,2023-10-03,748585,3,5,0,0,2,11,6,0,11,0.379,0.693,0.314,29,2,0.4,0.35294117647058826
MIN,2023-10-04,748583,2,7,0,0,0,10,5,1,15,0.31,0.653,0.343,29,0,0.0,0.3333333333333333
MIN,2023-10-07,748568,4,9,3,0,2,13,3,0,21,0.529,0.888,0.359,34,5,0.5555555555555556,0.1875
MIN,2023-10-08,748565,6,10,2,0,1,11,4,0,13,0.485,0.857,0.372,34,3,0.3,0.26666666666666666
MIN,2023-10-10,748567,1,3,1,0,0,14,7,0,23,0.381,0.729,0.348,29,1,0.3333333333333333,0.3333333333333333
MIN,2023-10-11,748566,2,3,1,0,2,14,2,0,3,0.373,0.681,0.308,29,3,1.0,0.125
TBR,2023-10-03,748581,0,6,1,0,0,7,1,0,12,0.219,0.431,0.212,32,1,0.16666666666666666,0.125
TBR,2023-10-04,748580,1,8,1,0,0,11,0,0,16,0.246,0.473,0.227,33,1,0.125,0.0
TOR,2023-10-03,748585,1,6,1,0,0,7,3,0,15,0.212,0.482,0.27,33,1,0.16666666666666666,0.3
TOR,2023-10-04,748583,0,9,0,0,0,12,2,0,14,0.242,0.534,0.292,33,0,0.0,0.14285714285714285
