team,game_id,runs,hits,doubles,triples,home_runs,strike_outs,walks,stolen_bases,left_on_base,slug,ops,obp,extra_base_hits,xbh_rate
BOS,813074,3,8,3,0,0,8,6,1,15,.324,.674,.350,3,0.375
BOS,813070,3,6,0,0,1,9,3,0,16,.313,.637,.324,1,0.16666666666666666
BOS,813065,0,5,0,0,0,13,1,0,14,.260,.540,.280,0,0.0
CHC,813066,3,6,0,0,2,13,1,0,6,.444,.685,.241,2,0.3333333333333333
CHC,813064,0,4,1,0,0,11,1,0,9,.298,.511,.213,1,0.25
CHC,813059,3,13,3,0,1,11,1,0,20,.404,.699,.295,4,0.3076923076923077
CHC,813047,3,6,1,0,3,12,3,0,9,.485,.735,.250,4,0.6666666666666666
CHC,813048,3,4,0,0,1,11,4,0,8,.359,.598,.239,1,0.25
CHC,813049,4,8,1,0,1,7,4,1,19,.368,.642,.274,2,0.25
CHC,813050,6,10,0,0,3,8,6,2,23,.419,.727,.308,3,0.3
CHC,813046,1,4,0,0,1,8,1,0,11,.381,.666,.285,1,0.25
CIN,813069,5,7,2,0,0,12,5,0,12,.265,.573,.308,2,0.2857142857142857
CIN,813068,4,6,0,0,0,13,5,1,20,.224,.528,.304,0,0.0
CLE,813072,1,4,0,0,0,15,3,0,13,.133,.345,.212,0,0.0
CLE,813071,6,6,2,0,3,3,4,0,6,.356,.614,.258,5,0.8333333333333334
CLE,813073,3,6,2,0,0,6,2,0,7,.322,.575,.253,2,0.3333333333333333
DET,813072,2,5,1,0,0,13,2,0,13,.200,.442,.242,1,0.2
DET,813071,1,7,1,0,0,11,6,0,29,.215,.518,.303,1,0.14285714285714285
DET,813073,6,10,2,0,1,9,5,0,20,.287,.612,.325,3,0.3
DET,813058,3,7,1,0,1,16,4,1,20,.275,.525,.250,2,0.2857142857142857
DET,813057,2,3,1,0,0,10,5,0,15,.211,.449,.238,1,0.3333333333333333
DET,813056,4,7,2,0,0,9,1,0,8,.233,.479,.246,2,0.2857142857142857
DET,813055,9,13,4,0,3,3,2,1,10,.362,.647,.285,7,0.5384615384615384
DET,813054,2,8,2,0,1,17,4,0,18,.333,.604,.271,3,0.375
LAD,813069,10,15,1,0,5,12,3,0,17,.816,1.268,.452,6,0.4
LAD,813068,8,13,6,0,0,3,3,0,25,.667,1.107,.440,6,0.46153846153846156
LAD,813051,5,6,1,0,1,13,3,0,16,.303,.592,.289,2,0.3333333333333333
LAD,813052,4,7,2,0,0,8,3,0,15,.284,.564,.280,2,0.2857142857142857
LAD,813041,2,8,0,1,1,8,2,0,12,.317,.603,.286,2,0.25
LAD,813042,2,7,0,0,0,12,4,0,21,.277,.557,.280,0,0.0
MIL,813047,9,13,4,0,0,8,5,0,22,.459,.888,.429,4,0.3076923076923077
MIL,813048,7,11,0,0,3,5,2,0,8,.529,.939,.410,3,0.2727272727272727
MIL,813049,3,7,2,0,1,9,3,0,13,.476,.841,.365,3,0.42857142857142855
MIL,813050,0,3,1,0,0,8,4,0,14,.405,.738,.333,1,0.3333333333333333
MIL,813046,3,6,0,0,3,4,4,2,9,.425,.753,.328,3,0.5
NYY,813074,1,7,0,0,1,13,0,0,15,.303,.515,.212,1,0.14285714285714285
NYY,813070,4,10,1,0,1,5,4,1,16,.364,.664,.300,2,0.2
NYY,813065,4,8,2,0,0,11,1,0,18,.343,.638,.295,2,0.25
NYY,813063,1,6,2,0,0,6,2,0,17,.250,.507,.257,2,0.3333333333333333
NYY,813062,7,10,2,0,1,15,3,0,11,.333,.622,.289,3,0.3
NYY,813061,9,12,4,0,2,6,4,0,15,.433,.758,.325,6,0.5
NYY,813060,2,6,1,0,1,10,6,0,18,.404,.731,.327,2,0.3333333333333333
PHI,813051,3,6,1,1,0,12,3,0,13,.290,.568,.278,2,0.3333333333333333
PHI,813052,3,7,2,1,0,10,4,1,15,.313,.601,.288,3,0.42857142857142855
PHI,813041,8,12,2,0,3,4,6,2,18,.430,.766,.336,5,0.4166666666666667
PHI,813042,1,4,2,0,0,12,4,1,14,.358,.657,.299,2,0.5
SD,813066,1,4,2,0,0,6,1,0,9,.200,.361,.161,2,0.5
SD,813064,3,7,1,0,1,6,3,2,19,.274,.498,.224,2,0.2857142857142857
SD,813059,1,7,2,0,1,8,1,1,16,.305,.548,.243,3,0.42857142857142855
SEA,813058,2,6,0,0,1,8,2,0,8,.237,.437,.200,1,0.16666666666666666
SEA,813057,3,8,2,0,2,10,1,1,13,.357,.590,.233,4,0.5
SEA,813056,8,8,2,0,3,10,5,0,14,.423,.695,.272,5,0.625
SEA,813055,3,8,1,0,0,10,4,0,14,.387,.672,.285,1,0.125
SEA,813054,3,8,2,0,0,20,7,1,22,.342,.634,.292,2,0.25
TOR,813063,10,14,3,0,3,2,2,0,11,.722,1.122,.400,6,0.42857142857142855
TOR,813062,13,15,3,0,5,5,3,0,9,.797,1.217,.420,8,0.5333333333333333
TOR,813061,6,9,2,0,1,11,2,0,14,.664,1.047,.383,3,0.3333333333333333
TOR,813060,5,12,4,0,0,6,1,1,25,.601,.974,.373,4,0.3333333333333333
